date,category,amount,currency,notes
2026-08-05,transport,17.96,QAR,Uber - office commute (card)
2026-08-05,shopping,3.25,QAR,Retail Mart (card)
2026-08-05,dining,12,QAR,Corner Cafe Trio (card statement shows as Alfatooh Spare Parts) (card)
2026-08-04,transport,50,QAR,BadrGo - office commute (card)
2026-08-04,dining,8,QAR,Albayt Istanbul Rest (card)
2026-08-02,groceries,8,QAR,Arabian Supermarket (card)
2026-08-02,transport,13.95,QAR,Uber - office commute (card)
2026-08-02,subscriptions,18,QAR,Adobe (card)
2026-08-02,subscriptions,-18.84,QAR,Adobe refund (card)
2026-08-02,subscriptions,-18,QAR,Adobe refund (card)
2026-08-02,shopping,5.57,QAR,Ansar Gallery (card)
2026-08-02,shopping,169,QAR,Ansar Gallery (card)
2026-08-02,dining,5,QAR,Punjab Restaurant-Mush (card)
2026-08-02,utilities,101,QAR,Kahramaa - electricity/water (card)
2026-08-01,groceries,4,QAR,Arabian Supermarket (card)
2026-07-31,dining,5,QAR,Corner Cafe Trio (card statement shows as Alfatooh Spare Parts) (card)
2026-07-31,groceries,51.38,QAR,Panda Hypermarket (card)
2026-07-31,subscriptions,95.67,QAR,Vodafone - home internet (card)
2026-07-31,dining,36,QAR,Punjab Restaurant-Mush (card)
2026-07-30,dining,4,QAR,Corner Cafe Trio (card statement shows as Alfatooh Spare Parts) (card)
2026-07-30,dining,120,QAR,Matka Junction Restaur (card)
2026-07-30,dining,15,QAR,Batteel Cafe (card)
2026-07-30,transport,17.03,QAR,Uber - office commute (card)
2026-07-29,transport,22.05,QAR,Uber - office commute (card)
2026-07-29,shopping,4.7,QAR,Retail Mart (card)
2026-07-28,dining,6,QAR,Pak Pakwan Restaurant (card)
2026-07-28,transport,12.15,QAR,Uber - office commute (card)
2026-07-27,dining,20,QAR,Albayt Istanbul Rest (card)
2026-07-27,transport,17.68,QAR,Uber - office commute (card)
2026-07-26,health,10,QAR,Naseem Al Rabeeh Medic - dental (card)
2026-07-26,health,149,QAR,Naseem Al Rabeeh Medic - dental (card)
2026-07-26,health,45,QAR,Naseem Surgical And Me - dental (card)
2026-07-26,transport,17.95,QAR,Uber - office commute (card)
2026-07-26,groceries,5,QAR,Arabian Supermarket (card)
2026-07-26,dining,12.19,QAR,Food Palace (card)
2026-07-25,misc,30,QAR,New Jasmin Laundry (card)
2026-07-25,transport,10.57,QAR,Uber - office commute (card)
2026-07-25,dining,15.14,QAR,Food Palace (card)
2026-07-23,dining,20,QAR,Albayt Istanbul Rest (card)
2026-07-23,dining,173.29,QAR,Food Palace (card)
2026-07-23,transport,16.94,QAR,Uber - office commute (card)
2026-07-22,groceries,89.29,QAR,Panda Hypermarket (card)
2026-07-22,transport,17.19,QAR,Uber - office commute (card)
2026-07-21,transport,16.95,QAR,Uber - office commute (card)
2026-07-21,dining,15,QAR,Batteel Cafe (card)
2026-07-20,groceries,13,QAR,Arabian Supermarket (card)
2026-07-20,dining,27,QAR,Batteel Cafe (card)
2026-07-20,transport,17.93,QAR,Uber - office commute (card)
2026-07-19,transport,15.7,QAR,Uber - office commute (card)
2026-07-19,transport,37.98,QAR,Uber - office commute (card)
2026-07-18,shopping,1592,QAR,Al Anees Electronics - recurring 1592 QAR/month charge, likely installment plan (card)
2026-07-12,transport,18.96,QAR,Uber - office commute (card)
2026-07-12,transport,16.54,QAR,Uber - office commute (card)
2026-07-12,travel,3350,QAR,Qatar Airways ticket (card)
2026-07-12,travel,2063.12,AED,Air Arabia ticket for friend Azhar Majeed (card, charged in AED), QAR equivalent -2071.4. Reimbursed same day - see 2026-07-12 Azhar Majeed "ticket booking" 2065 QAR in income.csv (net cost ~6.4 QAR)
2026-07-11,dining,20,QAR,Albayt Istanbul Rest (card)
2026-07-11,groceries,27.75,QAR,Panda Hypermarket (card)
2026-07-11,dining,40.58,QAR,Food Palace (card)
2026-07-10,subscriptions,73,QAR,Adobe (card)
2026-07-09,groceries,5,QAR,Arabian Supermarket (card)
2026-07-09,transport,15.94,QAR,Uber - office commute (card)
2026-07-09,dining,20,QAR,Batteel Cafe (card)
2026-07-08,transport,17.61,QAR,Uber - office commute (card)
2026-07-07,dining,15,QAR,Batteel Cafe (card)
2026-07-07,transport,18.45,QAR,Uber - office commute (card)
2026-07-06,transport,18.53,QAR,Uber - office commute (card)
2026-07-06,utilities,72,QAR,Kahramaa - electricity/water (card)
2026-07-05,transport,19.23,QAR,Uber - office commute (card)
2026-07-04,dining,6,QAR,Pak Pakwan Restaurant (card)
2026-07-04,groceries,1,QAR,Arabian Supermarket (card)
2026-07-04,health,399,QAR,Kerala Fitness membership (card)
2026-07-04,groceries,119.04,QAR,Lulu Hypermarket (card)
2026-07-03,dining,33,QAR,Kebab Al Aafghan (card)
2026-07-02,transport,14.44,QAR,Uber - office commute (card)
2026-07-01,transport,16.68,QAR,Uber - office commute (card)
2026-07-01,dining,38,QAR,Albayt Istanbul Rest (card)
2026-07-01,dining,1,QAR,Albayt Istanbul Rest (card)
2026-06-30,transport,20.39,QAR,Uber - office commute (card)
2026-06-30,dining,14,QAR,Punjab Restaurant-Mush (card)
2026-06-29,dining,15,QAR,Batteel Cafe (card)
2026-06-29,transport,15.94,QAR,Uber - office commute (card)
2026-06-28,transport,17.66,QAR,Uber - office commute (card)
2026-06-28,dining,6,QAR,Pak Pakwan Restaurant (card)
2026-06-28,groceries,18.73,QAR,Panda Hypermarket (card)
2026-06-27,dining,18,QAR,Corner Cafe Trio (card statement shows as Alfatooh Spare Parts) (card)
2026-06-26,dining,76.25,QAR,Food Palace (card)
2026-06-25,dining,21,QAR,Kebab Al Aafghan (card)
2026-06-25,dining,2,QAR,Corner Cafe Trio (card statement shows as Alfatooh Spare Parts) (card)
2026-06-19,shopping,4.25,QAR,Retail Mart (card)
2026-06-18,shopping,1592,QAR,Al Anees Electronics - recurring 1592 QAR/month charge, likely installment plan (card)
2026-08-23,groceries,8,QAR,Arabian Supermarket (CBQ Current)
2026-08-05,housing,3800,QAR,Rent cheque (CBQ Current)
2026-07-31,family/remittance,10003,QAR,Sent to Pakistan via Ooredoo Money (CBQ Current, PKR amount not confirmed)
2026-07-05,housing,3800,QAR,Rent cheque (CBQ Current)
2026-07-05,family/remittance,6003,QAR,Sent to Pakistan via Ooredoo Money (CBQ Current, PKR amount not confirmed)
2026-06-28,groceries,5,QAR,Arabian Supermarket (CBQ Current)
2026-06-25,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-06-21,dining,6,QAR,Batteel Cafe (CBQ Current)
2026-06-21,groceries,8,QAR,Arabian Supermarket (CBQ Current)
2026-06-21,misc,18,QAR,New Jasmin Laundry (CBQ Current)
2026-06-18,family/remittance,3003,QAR,Sent to Pakistan via Ooredoo Money (CBQ Current, PKR amount not confirmed)
2026-06-18,dining,20,QAR,Batteel Cafe (CBQ Current)
2026-06-15,groceries,166.5,QAR,Carrefour (CBQ Current)
2026-06-14,dining,5,QAR,New Shane Lahore (CBQ Current)
2026-06-14,dining,15,QAR,New Shane Lahore (CBQ Current)
2026-06-14,groceries,17,QAR,Arabian Supermarket (CBQ Current)
2026-06-14,groceries,5,QAR,Arabian Supermarket (CBQ Current)
2026-06-14,groceries,154.39,QAR,Lulu Hypermarket (CBQ Current)
2026-06-11,dining,20,QAR,Batteel Cafe (CBQ Current)
2026-06-10,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-06-09,dining,153.65,QAR,Food Palace (CBQ Current)
2026-06-09,dining,20,QAR,Batteel Cafe (CBQ Current)
2026-06-07,dining,20,QAR,Batteel Cafe (CBQ Current)
2026-06-07,misc,400,QAR,Bounced rent cheque fee (CBQ Current)
2026-06-07,groceries,6.5,QAR,Arabian Supermarket (CBQ Current)
2026-06-07,misc,32,QAR,New Jasmin Laundry (CBQ Current)
2026-06-07,housing,3800,QAR,Rent cheque (CBQ Current)
2026-05-21,dining,58,QAR,Burger King (CBQ Current)
2026-05-21,shopping,825.5,QAR,Qatar Duty Free (CBQ Current)
2026-05-21,shopping,515,QAR,Qatar Duty Free (CBQ Current)
2026-05-21,groceries,20,QAR,Arabian Supermarket (CBQ Current)
2026-05-20,groceries,516.06,QAR,Panda Hypermarket (CBQ Current)
2026-05-20,dining,20,QAR,Batteel Cafe (CBQ Current)
2026-05-19,dining,20,QAR,Batteel Cafe (CBQ Current)
2026-05-18,misc,500,QAR,ATM cash withdrawal (CBQ Current)
2026-05-17,dining,16,QAR,Punjab Restaurant (CBQ Current)
2026-05-17,groceries,2,QAR,Arabian Supermarket (CBQ Current)
2026-05-17,groceries,2.5,QAR,Arabian Supermarket (CBQ Current)
2026-05-17,shopping,18,QAR,Al Mandarin Trading (CBQ Current)
2026-05-17,groceries,332,QAR,Carrefour (CBQ Current)
2026-05-17,shopping,291,QAR,Babies And More (CBQ Current)
2026-05-17,dining,59,QAR,Pizza Hut (CBQ Current)
2026-05-14,dining,26,QAR,Punjab Restaurant (CBQ Current)
2026-05-13,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-05-13,misc,500,QAR,ATM cash withdrawal (CBQ Current)
2026-05-11,groceries,18,QAR,Panda Hypermarket (CBQ Current)
2026-05-10,dining,4,QAR,Punjab Restaurant (CBQ Current)
2026-05-10,groceries,120.18,QAR,Lulu Hypermarket (CBQ Current)
2026-05-10,dining,40,QAR,Punjab Restaurant (CBQ Current)
2026-05-10,dining,23.25,QAR,Food Palace (CBQ Current)
2026-05-10,shopping,18,QAR,Al Mandarin Trading (CBQ Current)
2026-05-10,shopping,76.13,QAR,Ansar Gallery (CBQ Current)
2026-05-10,shopping,149,QAR,Brands For Less (CBQ Current)
2026-05-10,shopping,20,QAR,Sports Corner (CBQ Current)
2026-05-10,shopping,7,QAR,Boots (CBQ Current)
2026-05-10,shopping,29,QAR,Redtag (CBQ Current)
2026-05-10,groceries,170.42,QAR,Panda Hypermarket (CBQ Current)
2026-05-10,groceries,12,QAR,Panda Hypermarket (CBQ Current)
2026-05-06,groceries,14,QAR,Save Rite Super Market (CBQ Current)
2026-05-05,dining,12,QAR,Batteel Cafe (CBQ Current)
2026-05-03,dining,107.5,QAR,Food Palace (CBQ Current)
2026-05-03,dining,4,QAR,Punjab Restaurant (CBQ Current)
2026-05-03,groceries,5,QAR,Arabian Supermarket (CBQ Current)
2026-05-03,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-05-03,misc,50,QAR,ATM cash withdrawal (CBQ Current)
2026-05-03,groceries,17,QAR,Save Rite Super Market (CBQ Current)
2026-05-03,dining,32,QAR,Punjab Restaurant (CBQ Current)
2026-05-03,dining,20,QAR,Albayt Istanbul Rest (CBQ Current)
2026-05-03,groceries,4.75,QAR,Panda Hypermarket (CBQ Current)
2026-05-03,groceries,135.97,QAR,Panda Hypermarket (CBQ Current)
2026-04-30,dining,120,QAR,Punjab Restaurant (CBQ Current)
2026-04-30,groceries,11.5,QAR,Arabian Supermarket (CBQ Current)
2026-04-29,shopping,450,QAR,Air conditioner purchase - to Mohamed Abdelfatah Mahamed Mostafa (CBQ Current)
2026-04-29,health,26,QAR,Family Pharmacy (CBQ Current)
2026-04-29,misc,0.5,QAR,Bank transfer fee (CBQ Current)
2026-04-28,dining,26,QAR,Punjab Restaurant (CBQ Current)
2026-04-28,health,45,QAR,Naseem Al Rabeeh Medical (CBQ Current)
2026-04-27,misc,16,QAR,New Jasmin Laundry (CBQ Current)
2026-04-26,travel,3540,QAR,Qr Ibe Qpay (CBQ Current)
2026-04-26,dining,13.43,QAR,Food Palace (CBQ Current)
2026-04-26,dining,14,QAR,Punjab Restaurant (CBQ Current)
2026-04-26,shopping,19,QAR,Ikea (CBQ Current)
2026-04-26,shopping,17,QAR,Ikea (CBQ Current)
2026-04-26,shopping,379,QAR,Ace Hardware (CBQ Current)
2026-04-26,dining,20,QAR,Punjab Restaurant (CBQ Current)
2026-04-26,groceries,13,QAR,Lulu Hypermarket (CBQ Current)
2026-04-26,groceries,82.38,QAR,Lulu Hypermarket (CBQ Current)
2026-04-26,groceries,51.75,QAR,Panda Hypermarket (CBQ Current)
2026-04-26,misc,500,QAR,ATM cash withdrawal (CBQ Current)
2026-04-23,groceries,250,QAR,Save Rite Super Market (CBQ Current)
2026-04-23,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-04-22,transport,50,QAR,Qatar Rail (CBQ Current)
2026-04-22,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-04-22,dining,14,QAR,Punjab Restaurant (CBQ Current)
2026-04-21,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-04-21,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-04-20,dining,44,QAR,Punjab Restaurant (CBQ Current)
2026-04-20,misc,500,QAR,Mofa Consulat Affair - passport/document renewal (CBQ Current)
2026-04-20,misc,19,QAR,Embassy Of Pakistan - passport/document renewal (CBQ Current)
2026-04-20,misc,63,QAR,Embassy Of Pakistan - passport/document renewal (CBQ Current)
2026-04-20,dining,20,QAR,Batteel Cafe (CBQ Current)
2026-04-19,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-04-19,dining,14.76,QAR,Food Palace (CBQ Current)
2026-04-19,misc,400,QAR,Bed and other items - to JESSA MARIE MENDOZA DELA CRUZ (CBQ Current)
2026-04-16,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-04-15,dining,13,QAR,Jaal Restaurant (CBQ Current)
2026-04-15,dining,40.92,QAR,Food Palace (CBQ Current)
2026-04-15,dining,14,QAR,Punjab Restaurant (CBQ Current)
2026-04-14,dining,25,QAR,Punjab Restaurant (CBQ Current)
2026-04-12,dining,18,QAR,Shriji Restaurant (CBQ Current)
2026-04-12,dining,4,QAR,Punjab Restaurant (CBQ Current)
2026-04-12,misc,6,QAR,New Jasmin Laundry (CBQ Current)
2026-04-12,groceries,11.96,QAR,Panda Hypermarket (CBQ Current)
2026-04-09,dining,25,QAR,Punjab Restaurant (CBQ Current)
2026-04-09,groceries,4.5,QAR,Arabian Supermarket (CBQ Current)
2026-04-09,health,350,QAR,Kerala Fitness (CBQ Current)
2026-04-09,groceries,9,QAR,Panda Hypermarket (CBQ Current)
2026-04-08,groceries,5,QAR,Save Rite Super Market (CBQ Current)
2026-04-08,dining,20,QAR,Batteel Cafe (CBQ Current)
2026-04-07,dining,57,QAR,Punjab Restaurant (CBQ Current)
2026-04-07,family/remittance,4000,QAR,Sent to Pakistan via Ooredoo Money (CBQ Current, PKR amount not confirmed)
2026-04-07,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-04-06,dining,29.82,QAR,Food Palace (CBQ Current)
2026-04-05,dining,27,QAR,Corner Cafe Trio (bank statement shows as Alfatooh Spare Parts) (CBQ Current)
2026-04-05,groceries,11.25,QAR,Panda Hypermarket (CBQ Current)
2026-04-02,groceries,4.75,QAR,Save Rite Super Market (CBQ Current)
2026-04-01,dining,24,QAR,Punjab Restaurant (CBQ Current)
2026-04-01,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-03-30,dining,29,QAR,Food Palace (CBQ Current)
2026-03-30,groceries,6.5,QAR,Panda Hypermarket (CBQ Current)
2026-03-29,groceries,126.03,QAR,Lulu Hypermarket (CBQ Current)
2026-03-25,groceries,15,QAR,Save Rite Super Market (CBQ Current)
2026-03-25,groceries,8,QAR,Save Rite Super Market (CBQ Current)
2026-03-25,dining,15,QAR,Batteel Cafe (CBQ Current)
2026-03-24,groceries,4.75,QAR,Save Rite Super Market (CBQ Current)
2026-03-24,groceries,100,QAR,Save Rite Super Market (CBQ Current)
2026-03-24,dining,77.03,QAR,Food Palace (CBQ Current)
2026-03-24,dining,172,QAR,Zaoq And Ziafat (CBQ Current)
2026-03-24,entertainment,70,QAR,Qatar Bahrein Cinema (CBQ Current)
2026-03-24,dining,47,QAR,Pak Pakwan Restaurant (CBQ Current)
2026-03-19,groceries,213.15,QAR,Lulu Hypermarket (CBQ Current)
2026-03-19,groceries,45,QAR,Panda Hypermarket (CBQ Current)
2026-03-17,groceries,50.13,QAR,Panda Hypermarket (CBQ Current)
2026-03-15,dining,13.53,QAR,Food Palace (CBQ Current)
2026-03-15,groceries,10.59,QAR,Panda Hypermarket (CBQ Current)
2026-03-10,dining,48.87,QAR,Food Palace (CBQ Current)
2026-03-08,dining,20,QAR,Albayt Istanbul Rest (CBQ Current)
2026-03-08,health,200,QAR,Kerala Fitness (CBQ Current)
2026-03-08,groceries,23,QAR,Panda Hypermarket (CBQ Current)
2026-03-02,family/remittance,2993,QAR,Sent to Pakistan via Ooredoo Money (CBQ Current, PKR amount not confirmed)
2026-08-23,misc,500,QAR,ATM cash withdrawal (CBQ Savings)
2026-08-09,misc,150,QAR,Taha SYED QIB FAREWELL - to ABHAY SURESHRAO MESHRAM (CBQ Savings)
2026-08-09,misc,0.5,QAR,Bank transfer fee (CBQ Savings)
2026-08-02,shopping,250,QAR,Air conditioner purchase, remaining payment - to Mausami Inhe (CBQ Savings)
2026-07-26,shopping,100,QAR,Air conditioner purchase, advance - to Mausami Inhe (CBQ Savings)
2026-07-26,misc,500,QAR,ATM cash withdrawal (CBQ Savings)
2026-06-21,misc,150,QAR,Yamini Farewell - to ABHAY SURESHRAO MESHRAM (CBQ Savings)
2026-06-21,misc,0.5,QAR,Bank transfer fee (CBQ Savings)
2026-06-18,misc,65,QAR,Mobile Reload - to EHTISHAM SHAHID ABBASI SHAHID HUS (CBQ Savings)
2026-06-18,misc,0.5,QAR,Bank transfer fee (CBQ Savings)
2026-06-17,transport,25,QAR,UBER RIDE - to AZHAR MAJEED (CBQ Savings)
2026-06-14,dining,32,QAR,Dinner at Pakpakwan - to AZHAR MAJEED (CBQ Savings)
2026-06-14,dining,51,QAR,Lunch with Friends - to MUBASHIR HABIB (CBQ Savings)
2026-06-10,transport,19,QAR,Uber Ride To Office - to SAYED IKRAM HUSSAIN (CBQ Savings)
2026-06-07,utilities,2071,QAR,Kahramaa bill payment (CBQ Savings)
2026-06-07,misc,4000,QAR,ATM cash withdrawal (CBQ Savings) - same day as bounced rent cheque, likely pulled to cover the 3800 QAR rent shortfall
2026-05-21,misc,1000,QAR,ATM cash withdrawal (CBQ Savings)
2026-05-17,misc,150,QAR,Farewell - to MUHAMMAD HAMDAN  ARIF (CBQ Savings)
2026-05-05,shopping,50,QAR,Furniture Cargo Service - to ATIKUR  RAHMAN (CBQ Savings)
2026-05-03,misc,500,QAR,ATM cash withdrawal (CBQ Savings)
2026-05-03,shopping,520,QAR,Washing Machine - to MUHAMMAD FAHAD BASHIR BASHIR AHM (CBQ Savings)
2026-05-03,misc,0.5,QAR,Bank transfer fee (CBQ Savings)
2026-05-03,misc,200,QAR,ATM cash withdrawal (CBQ Savings)
2026-05-03,misc,200,QAR,ATM cash withdrawal (CBQ Savings)
2026-04-30,misc,1000,QAR,Transfer To  4600XXXXX4101 - to JESSA MARIE MENDOZA DELA CRUZ (CBQ Savings)
2026-04-26,shopping,600,QAR,Furniture and other Appliances - to JESSA MARIE MENDOZA DELA CRUZ (CBQ Savings)
2026-04-23,dining,45,QAR,For Buying food item - to AZHAR MAJEED (CBQ Savings)
2026-04-19,misc,2000,QAR,Transfer to Saravanan - to SARAVANAN DHAMODHARAN DHAMODHARAN (CBQ Savings)
2026-04-19,misc,2,QAR,Bank transfer fee (CBQ Savings)
2026-04-12,dining,40,QAR,Dinner Sharing - to AZHAR MAJEED (CBQ Savings)
2026-04-05,housing,2600,QAR,Rent April - to MUHAMMAD USMAN ZAFAR (CBQ Savings)
2026-04-05,misc,0.6,QAR,Bank transfer fee (CBQ Savings)
2026-04-05,misc,50,QAR,Transfer to own Ooredoo Money wallet (CBQ Savings)
2026-03-03,housing,3000,QAR,Rent March plus deposit - to MUHAMMAD USMAN ZAFAR (CBQ Savings)
